INPUT:text	GOLDEN:result
у меня сегодня подобный звонок был. достали	neutral
чей ты предок, тебя спрашиваю?	neutral
отдай мой лям ублюдок	toxic
Сошли с ума? Путин вас обманывает	neutral
что-то ты чутка зажралась, нет? Или это ты шутишь так?	neutral
далбоебы путиных в запасе лет на 200	toxic
А где сейчас живет гомикадзе? Почему конкретно он свинтил с рашки?	toxic
не пизди!! ты!!! ебалдос шавку завали!!!	toxic
а такие как ты изображают из себя рэмбов	neutral
сдурели? путин вас в жопу выебет	toxic
на жестокость, надо отвечать жестокостью.	neutral
этот хохлоперевёртыш ещё во власти?	toxic
дэбилы,а хули вы можете только пиздеть	toxic
Этому сайту давно не доверяю, пишут всякую ерунду	neutral
воо дура!!!а просто в полицию не могла позвонить?	toxic
может хватит ерундой страдать? митрофан, ты заигралась	neutral
быдло и жиды неистребимы	toxic
А вся эта ерунда ради выборов	neutral
А какого тогда хуя посты трут и банят?	toxic
А какого тогда чёрта посты трут и банят?	neutral
