INPUT:first_text	INPUT:second_text	GOLDEN:result
жируют твари и над народом издеваются.	жируют жулики и над народом издеваются.	same
а такие чмошники как ты изображают из себя рэмбов	а такие хохлы как ты изображают из себя рэмбов	different
Моча, вытащи голову из жопы и займись своей работой.	вытащи голову из кармана и займись своей работой.	same
А что в кастрюле? уххх бля	а что в кастрюле?	same
тебе насрать на слезы матери	тебе наплевать на слезы матери	same
эти два пидораса несут нешей молодежи сраные арр европейские ценности	эти два единоросы несут нешей молодежи арр европейские ценности	different
плешивому псу совершенно похуй проблемы пенсионеров.	плешивому зюганова совершенно плохо проблемы пенсионеров.	different
пошёл на хер! на кол его,мудак какой-то,кто эт воще,первый раз слышу эту фамилию и имя	пошёл на фиг, кто это воще, первый раз слышу эту фамилию и имя	same
но у пидарасов все всегда через жопу	но у украинцев все всегда через москву	different
с твоей доходной внешностью лучше завалить ебало.	с твоей доходной внешностью лучше завалить бабло.	different
да нах ты с ним общаешься.алкашь он .пусть выебывается	да зачем ты с ним общаешься.алкаш он.пусть выпендривается	same
руки отрубить тому кто это написал!	руки потянут тому кто это написал!	different
причина не в пришедших во власть долбоебов, а в население, которое этих долбоебов выбирает.	причина не в пришедших во власть жуликов, а в население, которое этих людей выбирает.	same
уебак. 10 тысяч много. бабушки получают по 7	блин. 10 тысяч много. бабушкиполучают по 7	same
ты ебнулся , дядя ?	ты ушел, дядя?	different
таких нужно ка гниду давить.	таких нужно давать.	different
вот и посмотрим 1 января 2021 года кто ты: экстрасенс ты или пиздобол???	вот и посмотрим 1 января 2021 года кто ты: экстрасенс ты или жулик???	same
ещё на одного пидораса в россии меньше станет...	ещё на одного зюганова в россии меньше станет...	different
почему ты простое хамло называешь художником?	почему ты простое бабло называешь художником?	different
сразу видно шлюхи незнающие жизни!	сразу видно бабы незнающие жизни!	same
Саша из нескучного саунда охуенный.	Саша из нескучного саунда молодец.	same
предлагаю вообще им морды набить за все	предлагаю вообще им морды снять за все	different
В смысле мерзость? Что за угнетение? Мы не пидорессы, а женщины с иной ориентацией!	В смысле ерунда? Что за угнетение? Мы не единороссы, а женщины с иной ориентацией!	different
хуйню придумали был бы какой ни буть алкаш дело другое скаска	фигню придумали был бы какой ни буть алкаш дело другое скаска	same
что нужно сделать, чтобы тарифы не повышались, а понижались? - пристрелит голобородько.	что нужно сделать, чтобы тарифы не повышались, а понижались? - устроил голобородько.	different
чё за хуйня? чё за чёрт сделал это видео?	чё за фигня? чё за сша сделал это видео?	different
даже эта жидовская морда и то понял что народ востанет !!!!!	даже эта морда и то понял что народ востанет!!!!	same
бля, ну вы просто охуенный провидец!	блин, ну вы просто офигенный провидец!	same
из за таких лизоблюдов или тупоголовых наша родина в жопе , может ты в доле .	из за таких плохих людей наша родина в беде, может ты в доле.	same
И шо? Свое ебало засвети теперь	И шо? Своё дело засвети теперь	different
