INPUT:text	GOLDEN:result	HINT:text
пристрелить этих уродов без суда и следствия	toxic	Оскорбления: "уроды"
а что ты сука умеешь, только ноги раздвигать	toxic	Оскорбления: "сука", "умеешь только ноги раздвигать"
пидоры они в квадрате суки	toxic	Оскорбления: "пидоры", "суки"
а так реагировать на простое фото это пиздец, по моему фляга у тебя свистит пиздец как	toxic	Употребление мата ("пиздец")
тварина ебаная если это ее слова	toxic	Употребление оскорбления ("тварина ебаная")
ну ты глупый	toxic	Оскорбление в адрес собеседника ("глупый")
очень плохой человек тот кто со своим ружьем такую птицу убивает	neutral	"Плохой человек" не является оскорблением.
Странная, люди просто салатом делятся	neutral	Не содержит оскорблений или мата.
блин!!!а просто в полицию не могла позвонить?	neutral	Нет мата или оскорблений, "блин" не считается
скетчи норм были, сейчас какую то фигню делает.	neutral	Нет мата или оскорблений, критика не самого человека, а его деятельности
