INPUT:text	GOLDEN:result
былбы москвичь,я посмеялся с тебя и все,ну а так только баран.	toxic
как был хуйло, так и остался.	toxic
Он как был плохим человеком, таким и остался	neutral
Не евреи виноваты , а люди во власти.	neutral
В РФ медстраховка есть у всех, не важно работаешь ты или нет	neutral
ты пидор на путина наехал.	toxic
ебанутые. отобрать оружие и лодку и штраф тысяч 500	toxic
молодца, хоть один нашлось мужик кто говорит не чупуху	neutral
Здесь не урок русского языка	neutral
дураки. никакой свободы в ссср не было. вообще никакой. всё пиздешь, грубо говоря.	toxic
зачем издеваться над бульдогом?! хозяину надо на ебал.ник натянуть!	toxic
А какой уровень у тех кто тренды про украинцев создает?	neutral
Это ж моя кошка! И пузико, и белое пятнышко на шее!	neutral
ты бы уже падло язык за зубами держал	toxic
мразь .такие гниды бьют из-за угла .сколько их стало сейчас ???	toxic
Ты же с ним не занимался любовью не знаешь на что он способен	neutral
на хуй такие вбросы делать? поживите на донбассе, чепушилы. путин, им, блять, не такой.	toxic
Пожалуйста, не говори так. Время покажет	neutral
Банить за скримеры, я ебу, ты шизойд сам понял, что высрал?	toxic
Ему страшно стало за свою жизнь, а тому парню интересно, жить не хотелось?	neutral
да и хер с ним! пусть пиздует, дерьмо держать не стоит. автор полюби себя.	toxic
и,чё,блядь где этот херой был до этого со своими доказательствами?	toxic
О, а есть деанон	neutral
херну всякую пишут,из-за этого лайка.долбоебизм.	toxic
из за таких плохих людей мы и страдаем	neutral
как урод такую херню пишет???	toxic
кто такую ерунду пишет	neutral
У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)	neutral
ну и выродки,это твой ребёнок,зачем ты сучка рожала.	toxic
Почему у росгвардейца гибддшная палочка?	neutral
мы всегда лучше вас жили и живём . черти вы ебанные .	toxic
какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить	toxic
О чем с тобой говорить, тебе не на запад надо, а в Киев ...там для тебя все свои будут	neutral
Не пытайся меня понять. Не напрягай свои зачатки интеллекта.	toxic
Каждый будет отвечать за свои дела.	neutral
идиоты безголовые, ...бог всё видит, бумеранг существует	toxic
Два друга!один снимает другой погибает	neutral
посадить бойцов в кузов им точно пизда	toxic
А завтра лука приедет опять просить невозвратный кредит	neutral
потомушто долбоебы, зато щас разнообразного хлама полно	toxic
Не нравится? Что же ты народы ссоришь	neutral
что, гандон, сжалось очко ? чс ? алаверды.	toxic
Не нравится? Что же ты народы ссоришь	neutral
37 вылетов за 10 минут!!!!! сосите жопу твари	toxic
Этих людей нужно наказывать за жестокое обращение с животными!	neutral
пидор, какой еще координационный совет, который представляет горстку кретинов	toxic
А потом на дорогу лезут после таких автошкол.	neutral
да вообще похуй сколько этот долбоеб получает	toxic
Мне всё равно сколько он получает.	neutral
хороших людей забирает, а хуйню оставляет, взяточников	toxic
